0:004> bp ntdll!RtlpLowFragHeapAllocFromContext+180 ".printf \"currIDx == 0x%x\\r\\n\", @ax;g"
0:004> g
currIDx == 0x5d70
currIDx == 0x5d71
currIDx == 0x5d72
currIDx == 0x5d73
currIDx == 0x5d74
currIDx == 0x5d75
currIDx == 0x5d76
currIDx == 0x5d77
currIDx == 0x5d78
currIDx == 0x5d79
currIDx == 0x5d7a
currIDx == 0x5d7b
currIDx == 0x5d7c
currIDx == 0x5d7d
currIDx == 0x5d7e
currIDx == 0x5d7f
currIDx == 0x5d80
currIDx == 0x5d81
currIDx == 0x5d82
currIDx == 0x5d83
currIDx == 0x5d84
currIDx == 0x5d85
currIDx == 0x5d86
currIDx == 0x5d87
currIDx == 0x5d88
currIDx == 0x5d89
currIDx == 0x5d8a
currIDx == 0x5d8b
currIDx == 0x5d8c
currIDx == 0x5d8d
currIDx == 0x5d8e
currIDx == 0x5d8f
currIDx == 0x5d90
currIDx == 0x5d91
currIDx == 0x5d92
currIDx == 0x5d93
currIDx == 0x5d94
currIDx == 0x5d95
currIDx == 0x5d96
currIDx == 0x5d97
currIDx == 0x5d98
currIDx == 0x5d99
currIDx == 0x5d9a
currIDx == 0x5d9b
currIDx == 0x5d9c
currIDx == 0x5d9d
currIDx == 0x5d9e
currIDx == 0x5d9f
currIDx == 0x5da0
currIDx == 0x5da1
currIDx == 0x5da2
currIDx == 0x5da3
currIDx == 0x5da4
currIDx == 0x5da5
currIDx == 0x5da6
currIDx == 0x5da7
currIDx == 0x5da8
currIDx == 0x5da9
currIDx == 0x5daa
currIDx == 0x5dab
currIDx == 0x5dac
currIDx == 0x5dad
currIDx == 0x5dae
currIDx == 0x5daf
currIDx == 0x5db0
currIDx == 0x5db1
currIDx == 0x5db2
currIDx == 0x5db3
currIDx == 0x5db4
currIDx == 0x5db5
currIDx == 0x5db6
currIDx == 0x5db7
currIDx == 0x5db8
currIDx == 0x5db9
currIDx == 0x5dba
currIDx == 0x5dbb
currIDx == 0x5dbc
currIDx == 0x5dbd
currIDx == 0x5dbe
currIDx == 0x5dbf
currIDx == 0x5dc0
currIDx == 0x5dc1
currIDx == 0x5dc2
currIDx == 0x5dc3
currIDx == 0x5dc4
currIDx == 0x5dc5
currIDx == 0x5dc6
currIDx == 0x5dc7
currIDx == 0x5dc8
currIDx == 0x5dc9
currIDx == 0x5dca
currIDx == 0x5dcb
currIDx == 0x5dcc
currIDx == 0x5dcd
currIDx == 0x5dce
currIDx == 0x5dcf
currIDx == 0x5dd0
currIDx == 0x5dd1
currIDx == 0x5dd2
currIDx == 0x5dd3
currIDx == 0x5dd4
currIDx == 0x5dd5
currIDx == 0x5dd6
currIDx == 0x5dd7
currIDx == 0x5dd8
currIDx == 0x5dd9
currIDx == 0x5dda
currIDx == 0x5ddb
currIDx == 0x5ddc
currIDx == 0x5ddd
currIDx == 0x5dde
currIDx == 0x5ddf
currIDx == 0x5de0
currIDx == 0x5de1
currIDx == 0x5de2
currIDx == 0x5de3
currIDx == 0x5de4
currIDx == 0x5de5
currIDx == 0x5de6
currIDx == 0x5de7
currIDx == 0x5de8
currIDx == 0x5de9
currIDx == 0x5dea
currIDx == 0x5deb
currIDx == 0x5dec
currIDx == 0x5ded
currIDx == 0x5dee
currIDx == 0x5def
currIDx == 0x5df0
currIDx == 0x5df1
currIDx == 0x5df2
currIDx == 0x5df3
currIDx == 0x5df4
currIDx == 0x5df5
currIDx == 0x5df6
currIDx == 0x5df7
currIDx == 0x5df8
currIDx == 0x5df9
currIDx == 0x5dfa
currIDx == 0x5dfb
currIDx == 0x5dfc
currIDx == 0x5dfd
currIDx == 0x5dfe
currIDx == 0x5dff
currIDx == 0x5d00
currIDx == 0x5d01
currIDx == 0x5d02
currIDx == 0x5d03
currIDx == 0x5d04
currIDx == 0x5d05
currIDx == 0x5d06
currIDx == 0x5d07
currIDx == 0x5d08
currIDx == 0x5d09
currIDx == 0x5d0a
currIDx == 0x5d0b
currIDx == 0x5d0c
currIDx == 0x5d0d
currIDx == 0x5d0e
currIDx == 0x5d0f
currIDx == 0x5d10
currIDx == 0x5d11
currIDx == 0x5d12
currIDx == 0x5d13
currIDx == 0x5d14
currIDx == 0x5d15
currIDx == 0x5d16
currIDx == 0x5d17
currIDx == 0x5d18
currIDx == 0x5d19
currIDx == 0x5d1a
currIDx == 0x5d1b
currIDx == 0x5d1c
currIDx == 0x5d1d
currIDx == 0x5d1e
currIDx == 0x5d1f
currIDx == 0x5d20
currIDx == 0x5d21
